Quarter,Date,Time,Unknown,EPS,Est EPS,Date F,Est EPS diff,Est EPS diff percentage,Price,Price Return lag2,t+1 - t,t - t-1,t+1 - t-1,Price Return lag3,Price Return lag4,vol,Symbol,Target Industry Sector,Return Used
2017:Q3,10/24/2017,7:30,2.33,2.3323,2.205,2017-10-24,0.1273,0.0577324263039,234.65,7.28052358384,1.29128489239,5.91288648161,7.28052358384,5.14105168134,5.95350936583,1.83238837855,MMM US,Industrials,5.91288648161
2017:Q2,7/25/2017,7:30,2.091,2.58,2.59,2017-07-25,-0.01,-0.003861003861,199.39,-5.22380952381,-0.180550679573,-5.05238095238,-5.22380952381,-4.7380952381,-4.89523809524,1.65791523787,MMM US,Industrials,-5.05238095238
2017:Q1,4/25/2017,7:30,2.1632,2.1618,2.068,2017-04-25,0.0938,0.0453578336557,195.13,0.396437213613,-0.0666222518321,0.463368171755,0.396437213613,0.967924625444,0.823765638676,0.597594282573,MMM US,Industrials,0.463368171755
2016:Q4,1/24/2017,7:30,1.898,1.88,1.871,2017-01-24,0.009,0.00481026189204,175.97,-0.997143017198,0.431891799739,-1.42288947398,-0.997143017198,-0.946725673632,-0.57699848748,0.600846099071,MMM US,Industrials,-1.42288947398
2016:Q3,10/25/2016,7:30,2.1426,2.15,2.139,2016-10-25,0.011,0.00514258999532,166.23,-2.77923746132,0.168441316249,-2.94272201787,-2.77923746132,-3.2171425235,-3.21130378934,1.02676294169,MMM US,Industrials,-2.94272201787
2016:Q2,7/26/2016,7:30,2.0926,2.08,2.063,2016-07-26,0.017,0.00824042656326,177.66,-0.757111841007,0.343352471012,-1.09669876969,-0.757111841007,-0.918554807103,-0.707008851528,0.553954427602,MMM US,Industrials,-1.09669876969
2016:Q1,4/26/2016,7:30,1.8924,1.9521,1.924,2016-04-26,0.0281,0.014604989605,166.18,-0.368214752346,0.950776266699,-1.30656847607,-0.368214752346,-0.819574771351,-0.593894761848,0.510025340823,MMM US,Industrials,-1.30656847607
2015:Q4,1/26/2016,7:30,1.8007,1.8004,1.75,2016-01-26,0.0504,0.0288,144.78,5.80068328851,0.53184141456,5.24096823435,5.80068328851,7.08730101039,9.76230282765,2.11108377017,MMM US,Industrials,5.24096823435
2015:Q3,10/22/2015,7:30,2.05,2.05,1.998,2015-10-22,0.052,0.026026026026,156.0,3.98478173809,-0.134615384615,4.12494993993,3.98478173809,4.48538245895,4.61220130824,1.38828258255,MMM US,Industrials,4.12494993993
2015:Q2,7/23/2015,7:30,2.02,2.02,1.995,2015-07-23,0.025,0.0125313283208,149.5,-3.91223216009,-0.113712374582,-3.80284408983,-3.91223216009,-4.31117688694,-2.76687471849,1.3790142874,MMM US,Industrials,-3.80284408983
2015:Q1,4/23/2015,7:30,1.85,1.85,1.925,2015-04-23,-0.075,-0.038961038961,159.66,-3.4493228882,-0.419641738695,-3.04244853343,-3.4493228882,-4.06267079614,-3.85012449141,1.40653078804,MMM US,Industrials,-3.04244853343
2014:Q4,1/27/2015,7:30,1.81,1.81,1.796,2015-01-27,0.014,0.00779510022272,163.63,-0.18265952265,0.189451812015,-0.371407696055,-0.18265952265,1.15075499269,-1.18119824647,0.9358901274,MMM US,Industrials,-0.371407696055
2014:Q3,10/23/2014,7:30,1.98,1.98,1.961,2014-10-23,0.019,0.00968893421724,145.05,6.93774739115,2.4405377456,4.39006836992,6.93774739115,7.6358402303,8.71536523929,2.15350780285,MMM US,Industrials,4.39006836992
2014:Q2,7/24/2014,7:30,1.91,1.91,1.908,2014-07-24,0.002,0.00104821802935,145.13,0.304119435997,-0.00689037414731,0.31103124136,0.304119435997,0.587503455903,-0.456179153995,0.782665795438,MMM US,Industrials,0.31103124136
2014:Q1,4/24/2014,7:30,1.79,1.79,1.796,2014-04-24,-0.006,-0.00334075723831,136.65,-1.03630697877,-0.0658616904501,-0.971084861222,-1.03630697877,-0.550764548156,-0.318863685774,1.07382231185,MMM US,Industrials,-0.971084861222
2013:Q4,1/30/2014,7:30,1.62,1.62,1.615,2014-01-30,0.005,0.0030959752322,128.05,-1.58157389635,0.109332292073,-1.68905950096,-1.58157389635,-4.87523992322,-2.71017274472,1.14482762633,MMM US,Industrials,-1.68905950096
2013:Q3,10/24/2013,7:30,1.78,1.78,1.754,2013-10-24,0.026,0.0148232611174,123.49,0.99025974026,0.753097416795,0.23538961039,0.99025974026,1.3961038961,1.68831168831,0.788314920674,MMM US,Industrials,0.23538961039
2013:Q2,7/25/2013,7:30,1.71,1.71,1.705,2013-07-25,0.005,0.00293255131965,116.55,0.49858162125,0.30888030888,0.189117166681,0.49858162125,0.240694575776,0.438407977306,0.41548692117,MMM US,Industrials,0.189117166681
2013:Q1,4/25/2013,7:30,1.61,1.61,1.652,2013-04-25,-0.042,-0.0254237288136,104.88,-3.78233058311,-1.03928299008,-2.77185501066,-3.78233058311,-3.74524891073,-2.92945211829,1.24251431132,MMM US,Industrials,-2.77185501066
2012:Q4,1/24/2013,7:30,1.45,1.41,1.409,2013-01-24,0.001,0.000709723207949,99.67,1.10563875766,0.923046051972,0.1809227058,1.10563875766,1.16594632626,2.33189265253,0.405366214991,MMM US,Industrials,0.1809227058
2012:Q3,10/23/2012,7:30,1.65,1.65,1.65,2012-10-23,0.0,0.0,88.73,-4.47422457581,-0.383184943086,-4.1067761807,-4.47422457581,-5.10104830866,-4.86328758241,1.53050617864,MMM US,Industrials,-4.1067761807
2012:Q2,7/26/2012,7:30,1.66,1.66,1.653,2012-07-26,0.007,0.00423472474289,90.59,3.33521126761,1.23633955183,2.07323943662,3.33521126761,2.85070422535,2.79436619718,1.20000472683,MMM US,Industrials,2.07323943662
2012:Q1,4/24/2012,7:30,1.63,1.6333,1.486,2012-04-24,0.1473,0.0991251682369,88.49,1.91667623092,0.35032207029,1.56088603237,1.91667623092,2.51348559624,2.55939400895,1.01817995284,MMM US,Industrials,1.56088603237
